match_id,Mean_Price,Median_Price,Std_Price,Min_Price,Max_Price,Store_Count,Product_Name,Category,Brand,Median_Quantity,Price_Range,Price_Spread_Ratio,CV,IQR
9558,1079.3200000000002,932.2,201.45235665040002,932.2,1300.0,2,Rossmoor Mustard Powder 100GM,Food & Beverages,rossmoor,0.1,367.79999999999995,1.394550525638275,0.1866474786443316,367.79999999999995
9559,2995.78,2995.78,0.0,2995.78,2995.78,1,FRESH ST. YELLOW MUSTARD 237ML,Cooking Ingredients,fresh,0.237,0.0,1.0,0.0,0.0
9560,1941.18,1941.18,0.0,1941.18,1941.18,1,N HUG YELLOW MUSTARD 255 GM,Cooking Ingredients,n hug,0.255,0.0,1.0,0.0,0.0
9561,887.5,887.5,0.0,887.5,887.5,1,N HUG YELLOW MUSTARD 3.6 KG,Cooking Ingredients,n hug,3.6,0.0,1.0,0.0,0.0
9562,3513.85,3513.85,0.0,3513.85,3513.85,1,AMERICAN GARDEN MUSTARD 397 GM,Cooking Ingredients,american garden,0.397,0.0,1.0,0.0,0.0
9563,2600.0,2600.0,0.0,2600.0,2600.0,1,Mutton Shoulder (Dasti) Per 250gm,,metro meat,0.25,0.0,1.0,0.0,0.0
9565,1213.04,1213.04,0.0,1213.04,1213.04,1,Dawlance MWO 23LTR 374,,dawlance,23.0,0.0,1.0,0.0,0.0
9566,57.0,57.0,0.0,57.0,57.0,1,SUFI PLAIN NAAN 5PCS 425GM,Food & Beverages,sufi,5.0,0.0,1.0,0.0,0.0
9567,153.33,153.33,0.0,153.33,153.33,1,SUFI ROGHNI NAAN 3PCS 450GM,Food & Beverages,sufi,3.0,0.0,1.0,0.0,0.0
9568,99.17,99.17,0.0,99.17,99.17,1,DAWN ROGNI NAAN 6 PC 600 GM,Food & Beverages,dawn,6.0,0.0,1.0,0.0,0.0
9570,78.33,78.33,0.0,78.33,78.33,1,Haoda Nail Saver Sponge 3Pcs,Laundry & Household,haoda,3.0,0.0,1.0,0.0,0.0
9571,69.8,69.8,0.0,69.8,69.8,1,Haoda Nail Saver Sponge 5Pcs,Laundry & Household,haoda,5.0,0.0,1.0,0.0,0.0
9573,1180.0,1180.0,0.0,1180.0,1180.0,1,NIKKIS ORGANIC NAMAK PARAY 250 GM PC,Food & Beverages,nikkis,0.25,0.0,1.0,0.0,0.0
9574,1650.0,1650.0,0.0,1650.0,1650.0,1,NIMCOS NAMAK PARAY 200 GM,Snacks & Confectioneries,nimcos,0.2,0.0,1.0,0.0,0.0
9575,4828.57,4828.57,0.0,4828.57,4828.57,1,LOACKER WAFER NAPOLITANER 175 GM,Snacks & Confectioneries,loacker,0.175,0.0,1.0,0.0,0.0
9576,6180.0,6180.0,0.0,6180.0,6180.0,1,LOACKER WAFER NAPOLITANER 250 GM,Snacks & Confectioneries,loacker,0.25,0.0,1.0,0.0,0.0
9577,6555.56,6555.56,0.0,6555.56,6555.56,1,LOACKER NAPOLITANER WAFERS 45 GM,Snacks & Confectioneries,loacker,0.045,0.0,1.0,0.0,0.0
9578,7160.0,7160.0,0.0,7160.0,7160.0,1,LOACKER WAFERS NAPOLITANER 125 GM,Snacks & Confectioneries,loacker,0.125,0.0,1.0,0.0,0.0
9579,900.0,900.0,0.0,900.0,900.0,1,NARINJ 50 GM 50 GM,Cooking Ingredients,al-fatah,0.05,0.0,1.0,0.0,0.0
9580,9600.0,9600.0,0.0,9600.0,9600.0,1,AL-NASEEB 100 GM PISTACHIO W/O SHELL,Food & Beverages,al-naseeb,0.1,0.0,1.0,0.0,0.0
9581,4880.0,4880.0,0.0,4880.0,4880.0,1,AL-NASEEB 100 GM WALNUTS PREMIUM W/O SHELL,Food & Beverages,al-naseeb,0.1,0.0,1.0,0.0,0.0
9582,1980.0,1980.0,0.0,1980.0,1980.0,1,AL-NASEEB WHOLE WALLNUT 400GM,Food & Beverages,al-naseeb,0.4,0.0,1.0,0.0,0.0
9583,4080.0,4080.0,0.0,4080.0,4080.0,1,AL-NASEEB ZARISHK 100 GM,Food & Beverages,al-naseeb,0.1,0.0,1.0,0.0,0.0
9584,4000.0,4000.0,0.0,4000.0,4000.0,1,KERNEL POP SNACK PACK NATURAL 15 GM,Snacks & Confectioneries,kernel,0.015,0.0,1.0,0.0,0.0
9585,3666.67,3666.67,0.0,3666.67,3666.67,1,KERNEL POP SNACK PACK NATURAL 30 GM,Snacks & Confectioneries,kernel,0.03,0.0,1.0,0.0,0.0
